retransmission_sequences,timestamp
16160,1680744305.0591722
16166,1680744305.059232
16262,1680744305.062897
16538,1680744305.077939
16558,1680744305.0779688
16643,1680744305.0780292
16717,1680744305.0780952
17136,1680744305.094388
17246,1680744305.103292
17271,1680744305.103334
17348,1680744305.105598
17476,1680744305.1056252
17486,1680744305.10566
17501,1680744305.10571
17514,1680744305.105746
17736,1680744305.113641
17759,1680744305.113719
17852,1680744305.12022
17904,1680744305.120254
17954,1680744305.120288
18008,1680744305.123472
18085,1680744305.125538
18259,1680744305.131754
18413,1680744305.136224
18495,1680744305.140453
18607,1680744305.144543
18674,1680744305.144573
18829,1680744305.1516879
18870,1680744305.151714
19037,1680744305.158033
19225,1680744305.170919
19232,1680744305.174987
19476,1680744305.175023
19723,1680744305.183672
19773,1680744305.183698
19840,1680744305.1837351
19879,1680744305.1858292
20099,1680744305.1920671
20107,1680744305.192099
20113,1680744305.1921432
20272,1680744305.1994612
20279,1680744305.199504
20330,1680744305.199546
20661,1680744305.215477
20748,1680744305.215536
20793,1680744305.215594
20796,1680744305.215636
20847,1680744305.217094
20905,1680744305.220494
21163,1680744305.235221
21299,1680744305.235245
21630,1680744305.247699
21714,1680744305.247731
21797,1680744305.251963
22060,1680744305.264334
22125,1680744305.2643929
22207,1680744305.2644322
22253,1680744305.26448
22272,1680744305.2645319
22365,1680744305.26878
22463,1680744305.2710268
22476,1680744305.273248
22547,1680744305.27534
22759,1680744305.281728
22779,1680744305.281769
22824,1680744305.284147
22858,1680744305.286196
22873,1680744305.286231
23012,1680744305.292038
23057,1680744305.292075
23071,1680744305.292126
23234,1680744305.299652
23257,1680744305.2996778
23305,1680744305.301898
23404,1680744305.30422
23406,1680744305.304266
23434,1680744305.305401
23442,1680744305.305435
23480,1680744305.3070369
23490,1680744305.307071
23927,1680744305.323228
23960,1680744305.323254
23965,1680744305.32329
24029,1680744305.325386
24058,1680744305.3254259
24062,1680744305.325483
24108,1680744305.3270998
24131,1680744305.328217
24181,1680744305.3313658
24623,1680744305.34643
