Sequence_number,timestamp
53963,1680744297.352721
54139,1680744297.352988
54192,1680744297.353073
54282,1680744297.36398
54309,1680744297.36403
54437,1680744297.3687491
54480,1680744297.370783
54669,1680744297.375084
54701,1680744297.3751411
54890,1680744297.381675
54937,1680744297.385864
55089,1680744297.390464
55098,1680744297.390487
55185,1680744297.394598
55276,1680744297.3969762
55349,1680744297.399659
55399,1680744297.401849
55444,1680744297.4039109
55580,1680744297.408065
55639,1680744297.40816
55787,1680744297.4147148
55790,1680744297.414731
55830,1680744297.414807
55984,1680744297.422135
56127,1680744297.4266372
56147,1680744297.426674
56266,1680744297.431149
56396,1680744297.435791
56551,1680744297.439942
56724,1680744297.4441931
56726,1680744297.444204
57028,1680744297.45484
57045,1680744297.454875
57116,1680744297.454986
57160,1680744297.4550579
57341,1680744297.466519
57461,1680744297.4707332
57462,1680744297.470743
57599,1680744297.475007
57720,1680744297.4792268
57800,1680744297.483488
57801,1680744297.483497
58054,1680744297.4897652
58085,1680744297.4898229
58153,1680744297.494293
58573,1680744297.5032809
58626,1680744297.503368
58740,1680744297.511737
58926,1680744297.520334
59021,1680744297.520481
59183,1680744297.5289521
59231,1680744297.529033
59235,1680744297.529047
59347,1680744297.534143
59468,1680744297.53834
59481,1680744297.538368
59682,1680744297.544492
59687,1680744297.5445068
59707,1680744297.544544
59754,1680744297.548797
59857,1680744297.551002
60276,1680744297.559958
60324,1680744297.56004
60338,1680744297.5683641
60525,1680744297.572555
60627,1680744297.576617
60630,1680744297.57663
60649,1680744297.576666
60796,1680744297.582006
60799,1680744297.582019
60825,1680744297.5842612
60897,1680744297.58641
61029,1680744297.590589
61129,1680744297.594827
61203,1680744297.5949419
61219,1680744297.594974
61423,1680744297.60273
61502,1680744297.6067321
61531,1680744297.606781
61775,1680744297.6131
61880,1680744297.617197
61931,1680744297.6213279
61999,1680744297.621438
62230,1680744297.6279411
62418,1680744297.637092
62631,1680744297.645152
63018,1680744297.653995
63231,1680744297.662621
63237,1680744297.6626382
63256,1680744297.662673
63377,1680744297.6628559
63385,1680744297.662876
63478,1680744297.67294
63528,1680744297.675026
63748,1680744297.679271
63773,1680744297.6834261
63988,1680744297.6877031
64066,1680744297.6920938
64076,1680744297.692117
64082,1680744297.692134
64130,1680744297.692211
64148,1680744297.696293
64240,1680744297.6982558
64437,1680744297.703508
64555,1680744297.7076259
64681,1680744297.7117782
64684,1680744297.711791
64985,1680744297.722571
65135,1680744297.722795
65149,1680744297.722825
65155,1680744297.722841
65263,1680744297.734445
65311,1680744297.7345212
65430,1680744297.738667
24,1680744297.746881
198,1680744297.747134
206,1680744297.747154
345,1680744297.766391
361,1680744297.766433
393,1680744297.7664902
728,1680744297.7799628
733,1680744297.7799811
770,1680744297.7800431
1276,1680744297.794673
1384,1680744297.8031418
1648,1680744297.811352
1688,1680744297.811418
1821,1680744297.811616
1857,1680744297.8116758
1926,1680744297.8212
1956,1680744297.8212538
2013,1680744297.823392
2116,1680744297.827507
2139,1680744297.82755
2302,1680744297.831864
2446,1680744297.8364139
2626,1680744297.844745
2671,1680744297.8448188
2801,1680744297.845015
2825,1680744297.845057
2870,1680744297.845129
3199,1680744297.861099
3227,1680744297.86115
3512,1680744297.874256
3564,1680744297.874341
3578,1680744297.87437
3691,1680744297.87454
3771,1680744297.8829162
3826,1680744297.885439
3869,1680744297.885513
4023,1680744297.8905962
4027,1680744297.89061
4029,1680744297.89062
4054,1680744297.8906639
4058,1680744297.890677
4098,1680744297.8907452
4185,1680744297.896829
4293,1680744297.8990662
4455,1680744297.9042299
4516,1680744297.908276
4524,1680744297.9082959
4578,1680744297.908383
4588,1680744297.908405
4644,1680744297.9131782
4661,1680744297.9132118
4683,1680744297.91442
4704,1680744297.915744
4778,1680744297.917952
5024,1680744297.9260218
5028,1680744297.926037
5040,1680744297.9260612
5069,1680744297.92611
5078,1680744297.9261298
5157,1680744297.926251
5379,1680744297.936258
5394,1680744297.936289
5451,1680744297.9397418
5853,1680744297.948478
5869,1680744297.948512
5895,1680744297.948558
5920,1680744297.948601
6057,1680744297.960407
6129,1680744297.96052
6130,1680744297.9605289
6190,1680744297.964962
6195,1680744297.964978
6251,1680744297.967822
6282,1680744297.967875
6320,1680744297.969957
6347,1680744297.97101
6384,1680744297.972229
6423,1680744297.973278
6448,1680744297.974345
6667,1680744297.978569
6680,1680744297.9785962
6792,1680744297.984728
6804,1680744297.9847538
6823,1680744297.98479
6859,1680744297.984851
7097,1680744297.9928598
7137,1680744297.9968169
7164,1680744297.996865
7305,1680744298.001327
7466,1680744298.005738
7516,1680744298.0099342
7678,1680744298.014246
7746,1680744298.014386
7808,1680744298.018752
7927,1680744298.023129
7951,1680744298.023175
8022,1680744298.027265
8146,1680744298.02947
8153,1680744298.031689
8304,1680744298.0361788
8362,1680744298.036273
8520,1680744298.0426571
8559,1680744298.042725
8773,1680744298.049058
8861,1680744298.053111
8883,1680744298.053153
8906,1680744298.053196
9071,1680744298.0607822
9157,1680744298.064928
9310,1680744298.069234
9342,1680744298.06929
9393,1680744298.0693738
9421,1680744298.073687
9480,1680744298.075945
9534,1680744298.078
9585,1680744298.0780811
9655,1680744298.081391
9682,1680744298.081441
9689,1680744298.083785
9706,1680744298.08382
9728,1680744298.084883
9740,1680744298.085456
9766,1680744298.0865788
9836,1680744298.0886788
9867,1680744298.088733
10247,1680744298.098634
10335,1680744298.0987809
10404,1680744298.1071308
10408,1680744298.107145
10506,1680744298.111209
10546,1680744298.1112761
10754,1680744298.116578
10756,1680744298.116589
10770,1680744298.116617
10860,1680744298.1217642
11102,1680744298.12994
11132,1680744298.129992
11211,1680744298.130115
11300,1680744298.130251
11347,1680744298.1384242
11567,1680744298.142956
11870,1680744298.151842
12128,1680744298.1599748
12365,1680744298.168522
12455,1680744298.168659
12513,1680744298.1769228
12672,1680744298.181228
12754,1680744298.1860402
12780,1680744298.186086
12828,1680744298.186163
13074,1680744298.193459
13205,1680744298.19762
13558,1680744298.205994
13672,1680744298.214366
13682,1680744298.214391
13822,1680744298.214598
13911,1680744298.223618
13915,1680744298.2236328
13939,1680744298.225705
14000,1680744298.227846
14168,1680744298.232241
14207,1680744298.23231
14208,1680744298.23232
14212,1680744298.232333
14283,1680744298.237204
14344,1680744298.239295
14377,1680744298.239352
14537,1680744298.244765
14593,1680744298.2448618
14601,1680744298.244881
14639,1680744298.2490509
14646,1680744298.250276
14652,1680744298.250294
14859,1680744298.2551758
